Graph,Number of Nodes,Edge Percentage,Number of Edges,k,kn,Iterations,Repetitions,Total Time,Average Repetition Time,Success Count,Success Probability,Success,Min Success Iteration,Max Success Iteration,Average Success Iteration,Average Iterations,Vertices
graph_151209238317,55,24.983164983164983,371,0.5,27,100,10,0.1586993000091752,0.01586993000091752,0,0.0,False,,,,100.0,
graph_151209238317,55,24.983164983164983,371,0.5,27,500,10,0.43955409999762196,0.0439554099997622,0,0.0,False,,,,500.0,
graph_151209238317,55,24.983164983164983,371,0.5,27,1000,10,0.7984371000202373,0.07984371000202373,0,0.0,False,,,,1000.0,
graph_151209238317,55,24.983164983164983,371,0.5,27,2500,10,1.8866706000262639,0.1886670600026264,0,0.0,False,,,,2500.0,
graph_151209238317,55,24.983164983164983,371,0.5,27,5000,10,3.800577300018631,0.3800577300018631,0,0.0,False,,,,5000.0,
graph_151209238317,55,24.983164983164983,371,0.5,27,7500,10,5.695377600030042,0.5695377600030043,0,0.0,False,,,,7500.0,
graph_151209238317,55,24.983164983164983,371,0.5,27,10000,10,7.560680200040224,0.7560680200040224,0,0.0,False,,,,10000.0,
graph_151209238317,55,24.983164983164983,371,0.75,41,50,10,0.1350079999974696,0.01350079999974696,0,0.0,False,,,,50.0,
graph_151209238317,55,24.983164983164983,371,0.75,41,100,10,0.17081029998371378,0.017081029998371376,0,0.0,False,,,,100.0,
graph_151209238317,55,24.983164983164983,371,0.75,41,500,10,0.46600049997505266,0.04660004999750526,0,0.0,False,,,,500.0,
graph_151209238317,55,24.983164983164983,371,0.75,41,1000,10,0.8662172999756876,0.08662172999756876,0,0.0,False,,,,1000.0,
graph_151209238317,55,24.983164983164983,371,0.75,41,2500,10,2.0621256999729667,0.20621256999729667,0,0.0,False,,,,2500.0,
graph_151209238317,55,24.983164983164983,371,0.75,41,5000,10,3.965440799991484,0.39654407999914837,0,0.0,False,,,,5000.0,
graph_151209238317,55,24.983164983164983,371,0.75,41,7500,10,5.8802700999658555,0.5880270099965855,0,0.0,False,,,,7500.0,
graph_151209238317,55,24.983164983164983,371,0.75,41,10000,10,7.95141289998719,0.795141289998719,0,0.0,False,,,,10000.0,
graph_151209238465,60,24.97175141242938,442,0.125,7,50,10,0.03656340000452474,0.0036563400004524737,2,0.2,True,46.0,49.0,47.5,49.5,"[34, 43, 45, 21, 42, 24, 31]"
graph_151209238465,60,24.97175141242938,442,0.125,7,100,10,0.06594289999338798,0.006594289999338798,2,0.2,True,46.0,49.0,47.5,89.5,"[34, 43, 45, 21, 42, 24, 31]"
graph_151209238465,60,24.97175141242938,442,0.125,7,500,10,0.1657260999782011,0.01657260999782011,9,0.9,True,46.0,377.0,194.44444444444446,225.0,"[0, 42, 29, 46, 25, 53, 57]"
graph_151209238465,60,24.97175141242938,442,0.125,7,1000,10,0.18575349998718593,0.018575349998718592,10,1.0,True,46.0,769.0,251.9,251.9,"[37, 34, 23, 45, 20, 16, 59]"
graph_151209238465,60,24.97175141242938,442,0.125,7,2500,10,0.18575989997771103,0.018575989997771103,10,1.0,True,46.0,769.0,251.9,251.9,"[37, 34, 23, 45, 20, 16, 59]"
graph_151209238465,60,24.97175141242938,442,0.125,7,5000,10,0.18576569999277126,0.018576569999277127,10,1.0,True,46.0,769.0,251.9,251.9,"[37, 34, 23, 45, 20, 16, 59]"
graph_151209238465,60,24.97175141242938,442,0.125,7,7500,10,0.18577079997339752,0.018577079997339752,10,1.0,True,46.0,769.0,251.9,251.9,"[37, 34, 23, 45, 20, 16, 59]"
graph_151209238465,60,24.97175141242938,442,0.125,7,10000,10,0.18577579998236615,0.018577579998236615,10,1.0,True,46.0,769.0,251.9,251.9,"[37, 34, 23, 45, 20, 16, 59]"
graph_151209238465,60,24.97175141242938,442,0.25,15,50,10,0.07489029999123886,0.007489029999123886,0,0.0,False,,,,50.0,
graph_151209238465,60,24.97175141242938,442,0.25,15,100,10,0.10757100001501385,0.010757100001501384,0,0.0,False,,,,100.0,
graph_151209238465,60,24.97175141242938,442,0.25,15,500,10,0.37387150000722613,0.03738715000072261,0,0.0,False,,,,500.0,
graph_151209238465,60,24.97175141242938,442,0.25,15,1000,10,0.7087295999954222,0.07087295999954221,0,0.0,False,,,,1000.0,
graph_151209238465,60,24.97175141242938,442,0.25,15,2500,10,1.7510774999973364,0.17510774999973364,0,0.0,False,,,,2500.0,
graph_151209238465,60,24.97175141242938,442,0.25,15,5000,10,3.542218500006129,0.3542218500006129,0,0.0,False,,,,5000.0,
graph_151209238465,60,24.97175141242938,442,0.25,15,7500,10,5.183761699998286,0.5183761699998286,0,0.0,False,,,,7500.0,
graph_151209238465,60,24.97175141242938,442,0.25,15,10000,10,6.955853200008278,0.6955853200008277,0,0.0,False,,,,10000.0,
graph_151209238465,60,24.97175141242938,442,0.5,30,50,10,0.12993410001217853,0.012993410001217853,0,0.0,False,,,,50.0,
graph_151209238465,60,24.97175141242938,442,0.5,30,100,10,0.16657220000342932,0.01665722000034293,0,0.0,False,,,,100.0,
graph_151209238465,60,24.97175141242938,442,0.5,30,500,10,0.45798639999702573,0.04579863999970257,0,0.0,False,,,,500.0,
graph_151209238465,60,24.97175141242938,442,0.5,30,1000,10,0.8349816000118153,0.08349816000118153,0,0.0,False,,,,1000.0,
graph_151209238465,60,24.97175141242938,442,0.5,30,2500,10,1.9428835999860894,0.19428835999860894,0,0.0,False,,,,2500.0,
graph_151209238465,60,24.97175141242938,442,0.5,30,5000,10,3.938270000027842,0.3938270000027842,0,0.0,False,,,,5000.0,
graph_151209238465,60,24.97175141242938,442,0.5,30,7500,10,5.831498800005647,0.5831498800005648,0,0.0,False,,,,7500.0,
graph_151209238465,60,24.97175141242938,442,0.5,30,10000,10,7.718290600008913,0.7718290600008914,0,0.0,False,,,,10000.0,
graph_151209238465,60,24.97175141242938,442,0.75,45,50,10,0.1510285000258591,0.01510285000258591,0,0.0,False,,,,50.0,
graph_151209238465,60,24.97175141242938,442,0.75,45,100,10,0.19090119999600574,0.019090119999600575,0,0.0,False,,,,100.0,
graph_151209238465,60,24.97175141242938,442,0.75,45,500,10,0.5101623000082327,0.05101623000082327,0,0.0,False,,,,500.0,
graph_151209238465,60,24.97175141242938,442,0.75,45,1000,10,0.9019903000153136,0.09019903000153136,0,0.0,False,,,,1000.0,
graph_151209238465,60,24.97175141242938,442,0.75,45,2500,10,2.0861679000372533,0.20861679000372532,0,0.0,False,,,,2500.0,
graph_151209238465,60,24.97175141242938,442,0.75,45,5000,10,4.073838400028762,0.40738384000287625,0,0.0,False,,,,5000.0,
graph_151209238465,60,24.97175141242938,442,0.75,45,7500,10,6.035532599998987,0.6035532599998987,0,0.0,False,,,,7500.0,
graph_151209238465,60,24.97175141242938,442,0.75,45,10000,10,8.130357700021705,0.8130357700021704,0,0.0,False,,,,10000.0,
graph_151209238445,65,33.31730769230769,693,0.125,8,50,10,0.05641920000198297,0.005641920000198297,0,0.0,False,,,,50.0,
graph_151209238445,65,33.31730769230769,693,0.125,8,100,10,0.08925179998914246,0.008925179998914245,0,0.0,False,,,,100.0,
graph_151209238445,65,33.31730769230769,693,0.125,8,500,10,0.3548341999994591,0.035483419999945906,0,0.0,False,,,,500.0,
graph_151209238445,65,33.31730769230769,693,0.125,8,1000,10,0.6907576999947196,0.06907576999947196,0,0.0,False,,,,1000.0,
graph_151209238445,65,33.31730769230769,693,0.125,8,2500,10,1.695081099998788,0.1695081099998788,0,0.0,False,,,,2500.0,
graph_151209238445,65,33.31730769230769,693,0.125,8,5000,10,3.2304544000071473,0.3230454400007147,2,0.2,True,3848.0,3949.0,3898.5,4779.7,"[53, 9, 44, 19, 12, 1, 15, 34]"
graph_151209238445,65,33.31730769230769,693,0.125,8,7500,10,4.465375400002813,0.4465375400002813,3,0.3,True,3848.0,6215.0,4670.666666666667,6651.2,"[53, 9, 44, 19, 12, 1, 15, 34]"
graph_151209238445,65,33.31730769230769,693,0.125,8,10000,10,5.61042179998185,0.5610421799981851,3,0.3,True,3848.0,6215.0,4670.666666666667,8401.2,"[53, 9, 44, 19, 12, 1, 15, 34]"
graph_151209238445,65,33.31730769230769,693,0.25,16,50,10,0.07659790001343936,0.007659790001343936,0,0.0,False,,,,50.0,
graph_151209238445,65,33.31730769230769,693,0.25,16,100,10,0.10993790000793524,0.010993790000793525,0,0.0,False,,,,100.0,
graph_151209238445,65,33.31730769230769,693,0.25,16,500,10,0.38352430002123583,0.038352430002123586,0,0.0,False,,,,500.0,
graph_151209238445,65,33.31730769230769,693,0.25,16,1000,10,0.8116813999949954,0.08116813999949954,0,0.0,False,,,,1000.0,
graph_151209238445,65,33.31730769230769,693,0.25,16,2500,10,1.8228884999698494,0.18228884999698494,0,0.0,False,,,,2500.0,
graph_151209238445,65,33.31730769230769,693,0.25,16,5000,10,3.5080335999955423,0.35080335999955425,0,0.0,False,,,,5000.0,
graph_151209238445,65,33.31730769230769,693,0.25,16,7500,10,5.299953399997321,0.5299953399997321,0,0.0,False,,,,7500.0,
graph_151209238445,65,33.31730769230769,693,0.25,16,10000,10,7.016201899998123,0.7016201899998122,0,0.0,False,,,,10000.0,
graph_151209238445,65,33.31730769230769,693,0.5,32,50,10,0.13807809998979792,0.013807809998979792,0,0.0,False,,,,50.0,
graph_151209238445,65,33.31730769230769,693,0.5,32,100,10,0.17575189999479335,0.017575189999479334,0,0.0,False,,,,100.0,
graph_151209238445,65,33.31730769230769,693,0.5,32,500,10,0.4771355999982916,0.04771355999982916,0,0.0,False,,,,500.0,
graph_151209238445,65,33.31730769230769,693,0.5,32,1000,10,0.9660195000033127,0.09660195000033127,0,0.0,False,,,,1000.0,
graph_151209238445,65,33.31730769230769,693,0.5,32,2500,10,2.113215199991828,0.21132151999918278,0,0.0,False,,,,2500.0,
graph_151209238445,65,33.31730769230769,693,0.5,32,5000,10,3.991499499985366,0.3991499499985366,0,0.0,False,,,,5000.0,
graph_151209238445,65,33.31730769230769,693,0.5,32,7500,10,5.890754799998831,0.5890754799998831,0,0.0,False,,,,7500.0,
graph_151209238445,65,33.31730769230769,693,0.5,32,10000,10,7.846864300008747,0.7846864300008747,0,0.0,False,,,,10000.0,
graph_151209238445,65,33.31730769230769,693,0.75,48,50,10,0.14937269999063574,0.014937269999063574,0,0.0,False,,,,50.0,
graph_151209238445,65,33.31730769230769,693,0.75,48,100,10,0.18654670000250917,0.018654670000250916,0,0.0,False,,,,100.0,
graph_151209238445,65,33.31730769230769,693,0.75,48,500,10,0.48608030000468716,0.04860803000046872,0,0.0,False,,,,500.0,
graph_151209238445,65,33.31730769230769,693,0.75,48,1000,10,0.8705224000004819,0.08705224000004819,0,0.0,False,,,,1000.0,
graph_151209238445,65,33.31730769230769,693,0.75,48,2500,10,2.0033663000067463,0.20033663000067464,0,0.0,False,,,,2500.0,
graph_151209238445,65,33.31730769230769,693,0.75,48,5000,10,4.024871800022083,0.40248718000220834,0,0.0,False,,,,5000.0,
graph_151209238445,65,33.31730769230769,693,0.75,48,7500,10,5.953618500003358,0.5953618500003358,0,0.0,False,,,,7500.0,
